File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const std::string &aString)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::RGTokenizer(std::istream &anInput),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isWhitespace(char aChar),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isNumber(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isAlphaNum(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isQuote(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isOperator(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isSign(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isPunctuation(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::readWhile(callback aCallback),7,7,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,"RGTokenizer::readUntil(callback aCallback, bool addTerminal)",11,11,8,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,"RGTokenizer::readUntil(char aTerminalChar, bool addTerminal)",15,15,11,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::tokenize(),60,53,43,5,4,2,3,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::dump(),39,33,17,9,6,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(int32_t aBlockNumber),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(const Row &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(const Block &aBlock),44,13,13,1,2,0,29,94,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(KeyValues &aKeyValueList),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::~Row(),4,2,2,0,0,0,2,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,"Row::addColumn(const std::string &aString, const Value &aValue)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::setBlockNum(uint32_t aBlockNum),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::operator=(const Row &aRow),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::operator==(const Row &aCopy),16,14,11,6,2,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::RowCollection(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::RowCollection(const RowCollection &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::~RowCollection(),4,4,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::add(Row* aRow),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,"RowCollection::reorder(const PropertyList &anOrder, Entity &anEntity)",20,19,14,4,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::SQLInterpreter(IInterpreter *aNext),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::~SQLInterpreter(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::createTable(Entity *anEntity),12,11,10,6,0,0,1,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::deleteRows(const std::string &aName, const Filters &aFilters)",6,6,6,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::describeTable(const std::string &aName, std::ostream &anOutput)",11,11,12,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::dropTable(const std::string &aName),9,9,8,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::insertRow(const Row &aRow, const std::string &aTableName)",5,5,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::selectRows(const std::string &aName, const Filters &aFilters, const PropertyList &anOrderBy)",16,16,13,6,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::updateRows(const std::string &aName, const KeyValues &aKeyValues, const Filters &aFilters)",15,15,12,6,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::showTables(),5,5,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::interpret(const Statement &aStatement),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::getStatement(Tokenizer &aTokenizer),24,24,20,5,0,0,0,0,
